,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
74,1710,Alive,2013,14/07,Linda Martini,Palco Optimus,Principal,B – M,PT,
151,1711,Alive,2019,11/07,Linda Martini,Palco NOS,Principal,B – M,PT,
512,1707,Paredes de Coura,2018,15/08,Linda Martini,Palco Vodafone,Principal,B – M,,
414,1706,Paredes de Coura,2011,20/08,Linda Martini,Palco Ritek,Principal,B – M,,
596,1714,Rock In Rio,2012,26/5,Linkin Park,Palco Mundo,Principal,B – M,,
616,1715,Rock In Rio,2014,30/05,Linkin Park,Palco Mundo,Principal,B – M,,
306,1728,NOS Primavera Sounds,2013,31/5,Local Natives,Palco Optimus,Principal,B – M,,
966,1732,Super Bock Super Rock,2017,14/07,London Grammar,Palco Super Bock,Principal,B – M,,
357,1736,NOS Primavera Sounds,2018,7/6,Lorde,Palco NOS,Principal,F,,
622,1737,Rock In Rio,2014,31/05,Lorde,Palco Mundo,Principal,F,,
382,1738,Paredes de Coura,2010,28/07,Los Campesinos!,Palco Paredes de Coura,Principal,F,,
243,1743,Marés Vivas,2016,15/07,Lost Frequencies,Palco Meo,Principal,M,,
522,1758,Paredes de Coura,2018,17/08,Lucy Dacus,Palco Vodafone,Principal,M,,
254,1766,Marés Vivas,2017,15/07,Lukas Graham,Palco Meo,Principal,M,,
40,1767,Alive,2011,09/07,Lululemon ,Palco Optimus,Principal,B – M,PT,
465,1771,Paredes de Coura,2015,22/08,Lykke Li,Palco Vodafone,Principal,B – M,,
906,1776,Super Bock Super Rock,2012,06/07,M.I.A.,Palco Super Bock,Principal,B – M,,
663,1775,Sudoeste,2010,05/08,M.I.A.,Palco tmn,Principal,B – M,,
288,1778,NOS Primavera Sounds,2012,8/6,M83,Palco Optimus,Principal,B – M,,
118,1779,Alive,2016,09/07,M83,Palco NOS,Principal,B – M,,
83,1958,Alive,2014,11/07,MGMT,Palco NOS,Principal,B – M,,
148,1959,Alive,2018,14/07,MGMT,Palco NOS,Principal,B – M,,
323,1780,NOS Primavera Sounds,2015,4/6,Mac DeMarco,Palco NOS,Principal,M,,
606,1782,Rock In Rio,2014,01/06,Mac Miller,Palco Mundo,Principal,M,,
819,1783,Sudoeste,2017,02/08,Mac Miller,Palco Meo,Principal,M,,
1,1787,Alive,2009,09/07,Machine Head,Palco Optimus,Principal,B – M,,
940,1792,Super Bock Super Rock,2015,16/07,Madeon,Palco Super Bock,Principal,B – M,,
415,1807,Paredes de Coura,2011,20/08,Maika Mokovki,Palco Ritek,Principal,B – M,,
